user_id,event_id,event_type_enc,event_hour,event_weekday,event_month,season,location_enc,is_outdoor,weather_temp_C,weather_precip_mm,user_rain_avoid,user_cold_tolerance,user_heat_sensitivity,user_wind_sensitivity,user_override_weather,user_type_preference,attended
1,1,23,22,6,1,0,188,0,8.0,0.0,1,5,1,1,5,0,0
1,1,23,22,6,1,0,188,0,10.2,0.0,1,5,1,1,5,0,1
1,1,23,22,6,1,0,188,0,15.1,0.0,1,5,1,1,5,0,1
1,1,23,22,6,1,0,188,0,12.2,2.9,1,5,1,1,5,0,0
1,2,51,15,4,1,0,36,0,3.5,0.0,1,5,1,1,5,0,1
1,2,51,15,4,1,0,36,0,2.9,0.0,1,5,1,1,5,0,1
1,2,51,15,4,1,0,36,0,5.6,0.8,1,5,1,1,5,0,1
1,2,51,15,4,1,0,36,0,11.8,21.7,1,5,1,1,5,0,0
1,3,117,17,5,11,3,18,0,14.7,0.0,1,5,1,1,5,0,1
1,3,117,17,5,11,3,18,0,0.3,0.0,1,5,1,1,5,0,1
1,3,117,17,5,11,3,18,0,10.3,0.2,1,5,1,1,5,0,1
1,3,117,17,5,11,3,18,0,20.8,19.6,1,5,1,1,5,0,1
1,4,102,17,2,2,0,190,0,6.1,0.0,1,5,1,1,5,0,0
1,4,102,17,2,2,0,190,0,-1.4,0.0,1,5,1,1,5,0,1
1,4,102,17,2,2,0,190,0,13.2,0.4,1,5,1,1,5,0,0
1,4,102,17,2,2,0,190,0,1.2,12.8,1,5,1,1,5,0,0
1,5,161,2,6,6,2,147,0,22.3,0.0,1,5,1,1,5,0,1
1,5,161,2,6,6,2,147,0,22.5,0.3,1,5,1,1,5,0,1
1,5,161,2,6,6,2,147,0,24.5,2.4,1,5,1,1,5,0,1
1,5,161,2,6,6,2,147,0,23.7,8.3,1,5,1,1,5,0,1
1,6,141,16,6,9,3,153,0,11.4,0.0,1,5,1,1,5,0,1
1,6,141,16,6,9,3,153,0,16.3,0.0,1,5,1,1,5,0,1
1,6,141,16,6,9,3,153,0,8.0,0.0,1,5,1,1,5,0,1
1,6,141,16,6,9,3,153,0,15.0,7.8,1,5,1,1,5,0,1
1,7,21,4,0,3,1,6,0,8.1,0.0,1,5,1,1,5,0,1
1,7,21,4,0,3,1,6,0,20.4,0.0,1,5,1,1,5,0,1
1,7,21,4,0,3,1,6,0,3.2,2.5,1,5,1,1,5,0,1
1,7,21,4,0,3,1,6,0,18.0,10.2,1,5,1,1,5,0,0
1,8,10,18,0,1,0,105,0,2.0,0.0,1,5,1,1,5,0,0
1,8,10,18,0,1,0,105,0,0.1,0.0,1,5,1,1,5,0,0
1,8,10,18,0,1,0,105,0,-7.5,0.0,1,5,1,1,5,0,1
1,8,10,18,0,1,0,105,0,-2.0,1.1,1,5,1,1,5,0,1
1,9,14,18,5,5,1,194,0,7.0,0.0,1,5,1,1,5,0,1
1,9,14,18,5,5,1,194,0,0.9,0.0,1,5,1,1,5,0,1
1,9,14,18,5,5,1,194,0,23.6,0.3,1,5,1,1,5,0,0
1,9,14,18,5,5,1,194,0,3.4,1.1,1,5,1,1,5,0,1
1,10,6,2,6,5,1,76,0,17.7,0.0,1,5,1,1,5,0,1
1,10,6,2,6,5,1,76,0,10.3,0.0,1,5,1,1,5,0,1
1,10,6,2,6,5,1,76,0,13.5,0.0,1,5,1,1,5,0,1
1,10,6,2,6,5,1,76,0,9.6,8.8,1,5,1,1,5,0,1
1,11,163,16,4,4,1,54,0,14.7,0.0,1,5,1,1,5,0,1
1,11,163,16,4,4,1,54,0,4.3,0.4,1,5,1,1,5,0,0
